goos: darwin
goarch: arm64
pkg: github.com/fiorix/go-diameter/v4/bench
cpu: Apple M1 Max
BenchmarkDictSerialize1MSCC-10         	 1228394	       977.7 ns/op	     720 B/op	      20 allocs/op
BenchmarkDictSerialize1MSCC-10         	 1228927	       974.6 ns/op	     720 B/op	      20 allocs/op
BenchmarkDictSerialize1MSCC-10         	 1237788	       972.0 ns/op	     720 B/op	      20 allocs/op
BenchmarkDictSerialize1MSCC-10         	 1000000	      1041 ns/op	     720 B/op	      20 allocs/op
BenchmarkDictSerialize1MSCC-10         	 1231771	       969.8 ns/op	     720 B/op	      20 allocs/op
BenchmarkDictSerialize1MSCC-10         	 1235785	       965.8 ns/op	     720 B/op	      20 allocs/op
BenchmarkDictSerialize1MSCC-10         	 1240284	       969.2 ns/op	     720 B/op	      20 allocs/op
BenchmarkDictSerialize3MSCC-10         	  752896	      1511 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10         	  803182	      1514 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10         	  807690	      1511 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10         	  807168	      1507 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10         	  785414	      1518 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10         	  782202	      1514 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10         	  795186	      1571 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10         	  805477	      1545 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10         	  772705	      1562 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10         	  704703	      1760 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize5MSCC-10         	  529029	      2365 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10         	  522226	      2314 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10         	  503388	      2465 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10         	  541831	      2546 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10         	  534094	      2539 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10         	  534285	      2294 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10         	  528490	      2233 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10         	  529214	      2226 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10         	  548071	      2217 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10         	  540898	      2216 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerializeTriggerTTC-10    	  893704	      1330 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10    	  896166	      1324 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10    	  921051	      1328 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10    	  900691	      1321 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10    	  876343	      1318 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10    	  887709	      1326 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10    	  899319	      1317 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10    	  905682	      1334 ns/op	     904 B/op	      25 allocs/op
