goos: darwin
goarch: arm64
pkg: github.com/fiorix/go-diameter/v4/bench
cpu: Apple M1 Max
BenchmarkDictSerialize1MSCC-10           	 1247430	       960.1 ns/op	     720 B/op	      20 allocs/op
BenchmarkDictSerialize1MSCC-10           	 1201165	       956.9 ns/op	     720 B/op	      20 allocs/op
BenchmarkDictSerialize1MSCC-10           	 1253727	       958.8 ns/op	     720 B/op	      20 allocs/op
BenchmarkDictSerialize1MSCC-10           	 1249694	       956.4 ns/op	     720 B/op	      20 allocs/op
BenchmarkDictSerialize1MSCC-10           	 1247377	       958.8 ns/op	     720 B/op	      20 allocs/op
BenchmarkDictSerialize1MSCC-10           	 1254750	       963.0 ns/op	     720 B/op	      20 allocs/op
BenchmarkDictSerialize1MSCC-10           	 1252212	       955.5 ns/op	     720 B/op	      20 allocs/op
BenchmarkDictSerialize3MSCC-10           	  794061	      1500 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10           	  808869	      1496 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10           	  809402	      1500 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10           	  796332	      1492 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10           	  813326	      1490 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10           	  801049	      1534 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10           	  755130	      1567 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10           	  800418	      1494 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10           	  817384	      1497 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize3MSCC-10           	  799461	      1502 ns/op	    1032 B/op	      30 allocs/op
BenchmarkDictSerialize5MSCC-10           	  554890	      2217 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10           	  552648	      2175 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10           	  549094	      2167 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10           	  551133	      2169 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10           	  552868	      2180 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10           	  545191	      2181 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10           	  546759	      2180 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10           	  540622	      2189 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10           	  537062	      2195 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerialize5MSCC-10           	  542468	      2190 ns/op	    1464 B/op	      42 allocs/op
BenchmarkDictSerializeTriggerTTC-10      	  934414	      1306 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10      	  918475	      1300 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10      	  919744	      1310 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10      	  931119	      1334 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10      	  927476	      1309 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10      	  932596	      1292 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10      	  939033	      1294 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10      	  943374	      1294 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10      	  931323	      1335 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeTriggerTTC-10      	  939670	      1296 ns/op	     904 B/op	      25 allocs/op
BenchmarkDictSerializeCCA-10             	 1000000	      1053 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10             	 1000000	      1049 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10             	 1000000	      1045 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10             	 1000000	      1049 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10             	 1000000	      1048 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10             	 1000000	      1048 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10             	 1000000	      1042 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10             	 1000000	      1040 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10             	 1000000	      1046 ns/op	     768 B/op	      26 allocs/op
BenchmarkDictSerializeCCA-10             	 1000000	      1052 ns/op	     768 B/op	      26 allocs/op
BenchmarkStaticParse1MSCC-10             	10093441	       118.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse1MSCC-10             	10042509	       118.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse1MSCC-10             	10138502	       119.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse1MSCC-10             	10086921	       118.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse1MSCC-10             	10142833	       118.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse1MSCC-10             	10113499	       118.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse1MSCC-10             	10116913	       118.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse1MSCC-10             	10138156	       118.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse1MSCC-10             	10109395	       118.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse1MSCC-10             	10128932	       118.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse3MSCC-10             	 6360055	       187.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse3MSCC-10             	 6363022	       187.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse3MSCC-10             	 6380713	       187.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse3MSCC-10             	 6391056	       187.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParse3MSCC-10             	 6402103	       187.5 ns/op	       0 B/op	       0 allocs/op
